plate,phone
FCH034,0474321195
CTV097,0495772811
FEG626,0478602691
HRE674,0475845851
EBJ635,0478602692
HAC026,0423462724
HCM264,0425092411
GOM291,0498765748
NNT779,0449867007
OEH473,0448909139
LQX117,0489838339
XEI333,0429367370
IJZ323,0419894131
TFZ665,0414211273
SZS705,0404142192
EHC341,0463772313
ILW127,0467993035
LDO159,0444309706
YVT646,0498197774
WLI394,0426528502
LRP643,0428115381
XFR422,0447999434
ADE790,0496735991
IWE081,0426190973
CIC953,0491472222
UJQ917,0452915346
WAO404,0408303476
GUW880,0452883247
RCD856,0473706969
HDK665,0477508447
EVG522,0401959097
MAN805,0474189330
UAH708,0453727351
LNM171,0487499964
ITC573,0432699401
AFG382,0449565649
STF183,0441993456
KTD383,0438641082
LSM750,0410143243
OFB120,0429207166
IGH030,0453018698
DDC526,0460612709
AZC794,0449801484
LBI735,0403654225
BAK880,0484716678
XBS950,0434310441
PEZ261,0477046027
YSA199,0456456332
SIL135,0427433037
TVC073,0481590943
KQF186,0405219982
QSA693,0447480246
XDG388,0442462347
EAM404,0437940795
ILM964,0402464773
OKA114,0468123632
DEQ378,0426210927
DMB146,0489088869
PRW990,0437822581
BAW761,0446282162
ROA143,0456320670
HVM382,0410314673
JBZ822,0402050623
KPD156,0472031035
FYA105,0485167779
KRF432,0463226145
QXI952,0487338683
FDK627,0452746818
WYU675,0489632673
UHO325,0472268466
ADC054,0466563494
CBR935,0414339440
UQM344,0492605136
EBE771,0445242662
XKI441,0410502031
AYV201,0499051652
ZYP183,0457126243
OZE089,0449219989
MOV926,0453485311
RSJ215,0423671260
LSR328,0422323308
NXS013,0482583178
OJT726,0422740606
TQD801,0493802962
BAS467,0496653357
BUB404,0468125816
TYK467,0454116209
ATE401,0456201138
NSF734,0498697201
REB131,0463724633
RIM663,0472723824
RSA943,0480182048
GLE866,0401150443
UEK706,0432855501
WYT551,0446282854
OQK257,0472326282
HCE845,0433826016
POG956,0432423714
XGU308,0496168923
MZJ726,0485756272
DNW465,0457935691
GGL508,0451461824
PCP883,0429835003
ZON309,0477503737
UNS463,0435732670
PMG406,0459166229
LPM651,0414472335
XZE846,0461315202
PMN062,0468991900
KER894,0488749673
BWH824,0476522159
DIQ156,0498880517
GZO455,0495757232
BUG009,0490178559
WNW912,0450376511
DSM853,0479330224
XSN128,0446371869
XRS239,0448480483
QVB240,0454512547
QQZ957,0489126529
DWH574,0461028708
OWR077,0403252950
ODX314,0411978839
ZKT796,0490187505
WAO430,0404885661
DAS521,0464354301
EFC729,0420433103
BUY117,0444715367
KME119,0440825660
NJY755,0490550994
IMT107,0424031743
AJN198,0446790833
MNS863,0422274941
IYW769,0490390749
EMJ992,0472895830
VZQ936,0414441265
XWO530,0464033448
XLF216,0478643235
WEV831,0434768918
MDG456,0404512500
VSQ034,0442372660
FKN048,0450519059
YQQ504,0487826148
QGL274,0450358288
HQV401,0473690687
SJI584,0476161532
MDY752,0429335209
GNA342,0414421902
OYB723,0421622917
SFH447,0416809434
RVM636,0473792421
DYV273,0416931587
VEZ233,0404841744
HOH156,0463997825
SBO128,0486824270
GZZ330,0475109609
KUJ549,0469076875
FOC599,0410983174
KLN150,0496886351
MUZ902,0456070444
QPX271,0410131336
KQF262,0407701830
JBH401,0416755931
CLQ846,0498732419
FVW080,0478949350
GYZ066,0482445578
HUP239,0410352720
OSG259,0422515622
PNZ829,0419234192
WEJ717,0449935659
TFO821,0471158308
AMD197,0440529203
DNY445,0439293682
LCB256,0493306787
WAZ644,0499457796
UPI519,0401974550
HEE559,0444594077
LEN456,0463565027
ACM728,0423391023
RBY650,0499962493
HMG033,0477254829
MFG910,0406988212
PNN030,0479383915
KHU460,0493574958
RVQ556,0480829398
YIG423,0423819402
NNR278,0451018847
MXH087,0491887617
CGB511,0496063650
CTP362,0448830932
BZG102,0493163117
LFN217,0412872114
UTL680,0489238575
